LOC,Cyclomatic_Complexity,Maintainability_Index,PEP8_Violations,Security_Issues,Defect_Prone
12,1.0,100.0,0,0,0
19,2.0,96.99665369074428,0,0,0
3,0.0,0.0,0,0,0
183,2.0,63.87559495339964,4,0,0
248,3.095238095238096,58.16926721366194,4,2,0
56,4.0,86.45484201402276,2,0,0
52,2.0,87.03791683776055,3,0,0
12,1.0,100.0,0,0,0
84,4.333333333333333,66.91049943145492,4,0,0
223,5.307692307692308,30.18418963815203,15,0,0
14,1.3333333333333333,100.0,0,0,1
11,1.0,100.0,0,0,1
244,2.8,30.27909449105656,10,0,0
78,1.6428571428571428,59.70178912921297,0,0,1
352,1.859375,32.37313765300388,23,0,0
385,2.3461538461538463,27.047982718715083,6,0,1
10,2.5,100.0,0,0,1
81,2.8,74.16658884113201,4,0,0
53,2.75,82.47273711548596,1,0,0
91,2.6,46.8021907914,2,0,0
0,0.0,0.0,0,0,1
90,1.4,100.0,1,0,1
36,2.5,100.0,2,0,0
75,1.5714285714285714,56.97995878306203,0,0,1
2,0.0,0.0,0,0,0
371,2.404255319148936,29.22469193527243,6,0,0
45,1.0,100.0,5,0,0
114,1.875,43.76273116135346,0,0,0
14,1.0,100.0,0,0,0
