project,file,LOC,Cyclomatic_Complexity,Maintainability_Index,Pylint_Score,PEP8_Violations,Security_Issues
django,python_projects\django\django\conf\locale\fr_BE\formats.py,32,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\fr_BE\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\fr_CA\formats.py,30,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\fr_CA\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\fr_CH\formats.py,32,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\fr_CH\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\fy\formats.py,21,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\fy\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\ga\formats.py,21,0.0,0.0,8.33,0,0
django,python_projects\django\django\conf\locale\ga\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\gd\formats.py,21,0.0,0.0,8.89,0,0
django,python_projects\django\django\conf\locale\gd\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\gl\formats.py,21,0.0,0.0,9.0,0,0
django,python_projects\django\django\conf\locale\gl\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\he\formats.py,21,0.0,0.0,8.89,0,0
django,python_projects\django\django\conf\locale\he\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\hi\formats.py,21,0.0,0.0,8.33,0,0
django,python_projects\django\django\conf\locale\hi\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\hr\formats.py,44,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\hr\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\hu\formats.py,30,0.0,0.0,9.29,0,0
django,python_projects\django\django\conf\locale\hu\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\id\formats.py,49,0.0,0.0,9.29,0,0
django,python_projects\django\django\conf\locale\id\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\ig\formats.py,32,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\ig\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\is\formats.py,21,0.0,0.0,8.75,0,0
django,python_projects\django\django\conf\locale\is\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\it\formats.py,43,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\it\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\ja\formats.py,21,0.0,0.0,9.0,0,0
django,python_projects\django\django\conf\locale\ja\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\ka\formats.py,48,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\ka\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\km\formats.py,21,0.0,0.0,8.75,0,0
django,python_projects\django\django\conf\locale\km\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\kn\formats.py,21,0.0,0.0,7.5,0,0
django,python_projects\django\django\conf\locale\kn\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\ko\formats.py,54,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\ko\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\ky\formats.py,32,0.0,0.0,9.23,0,0
